Date : 2022-10-21 14:12:51
Directory : d:\bubbleApp\BubbleApp-Mobile
Total : 348 files,  63732 codes, 2079 comments, 2594 blanks, all 68405 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athelete-card\athelete-card.component.scss          | SCSS               |        696 |          3 |         23 |        722 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athelete-card\athelete-card.component.spec.ts       | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athelete-card\athelete-card.component.ts            | TypeScript         |        310 |         11 |         38 |        359 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete-routing.module.ts                           | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete.module.ts                                   | TypeScript         |         19 |          0 |          5 |         24 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete.page.html                                   | HTML               |        170 |         78 |          7 |        255 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete.page.scss                                   | SCSS               |        946 |         12 |         29 |        987 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\athlete\athlete.page.ts                                     | TypeScript         |        209 |          4 |         17 |        230 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment-routing.module.ts                   | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.module.ts                           | TypeScript         |         18 |          0 |          5 |         23 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.page.html                           | HTML               |        167 |          0 |         10 |        177 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.page.scss                           | SCSS               |      1,191 |         12 |         29 |      1,232 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.page.spec.ts                        | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\bid-payment\bid-payment.page.ts                             | TypeScript         |        191 |          1 |         22 |        214 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan-routing.module.ts                                   | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan.module.ts                                           | TypeScript         |         18 |          0 |          5 |         23 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan.page.html                                           | HTML               |         83 |          4 |          3 |         90 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan.page.scss                                           | SCSS               |        396 |          2 |          7 |        405 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\profile-view\fan\fan.page.ts                                             | TypeScript         |         54 |          0 |          5 |         59 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\approve-request\approve-request.component.html                  | HTML               |         23 |          0 |          3 |         26 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\approve-request\approve-request.component.scss                  | SCSS               |         67 |          0 |          4 |         71 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\approve-request\approve-request.component.spec.ts               | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\approve-request\approve-request.component.ts                    | TypeScript         |         14 |          0 |          3 |         17 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-message-modal\cancel-message-modal.component.html        | HTML               |         17 |          0 |          3 |         20 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-message-modal\cancel-message-modal.component.scss        | SCSS               |         71 |          0 |          4 |         75 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-message-modal\cancel-message-modal.component.spec.ts     | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-message-modal\cancel-message-modal.component.ts          | TypeScript         |         30 |          0 |          5 |         35 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-request-modal\cancel-request-modal.component.html        | HTML               |         22 |          0 |          3 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-request-modal\cancel-request-modal.component.scss        | SCSS               |         67 |          0 |          4 |         71 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-request-modal\cancel-request-modal.component.spec.ts     | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\cancel-request-modal\cancel-request-modal.component.ts          | TypeScript         |         11 |          0 |          3 |         14 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\card\card.component.html                                        | HTML               |        400 |          9 |         11 |        420 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\card\card.component.scss                                        | SCSS               |        431 |          3 |         16 |        450 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\card\card.component.spec.ts                                     | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\card\card.component.ts                                          | TypeScript         |        384 |          2 |         39 |        425 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\dismissmodal\dismissmodal.component.html                        | HTML               |         20 |          0 |          3 |         23 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\dismissmodal\dismissmodal.component.scss                        | SCSS               |         67 |          0 |          4 |         71 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\dismissmodal\dismissmodal.component.spec.ts                     | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\dismissmodal\dismissmodal.component.ts                          | TypeScript         |         11 |          0 |          3 |         14 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\meet-otp\meet-otp.component.html                                | HTML               |         56 |          0 |          5 |         61 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\meet-otp\meet-otp.component.scss                                | SCSS               |         78 |          0 |          4 |         82 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\meet-otp\meet-otp.component.spec.ts                             | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\meet-otp\meet-otp.component.ts                                  | TypeScript         |         96 |          0 |         13 |        109 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\schedule-routing.module.ts                                      | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\schedule.module.ts                                              | TypeScript         |         37 |          0 |          5 |         42 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\schedule.page.html                                              | HTML               |        188 |          5 |         12 |        205 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\schedule.page.scss                                              | SCSS               |        492 |          2 |         15 |        509 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\schedule.page.spec.ts                                           | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\schedule\schedule.page.ts                                                | TypeScript         |        205 |         15 |         26 |        246 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\appereance-booking\appereance-booking.component.html                | HTML               |        597 |          2 |         22 |        621 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\appereance-booking\appereance-booking.component.scss                | SCSS               |        580 |          5 |          9 |        594 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\appereance-booking\appereance-booking.component.spec.ts             | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\appereance-booking\appereance-booking.component.ts                  | TypeScript         |        445 |          5 |         56 |        506 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\payment\payment.component.html                                      | HTML               |        157 |         62 |         12 |        231 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\payment\payment.component.scss                                      | SCSS               |        489 |          2 |         10 |        501 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\payment\payment.component.spec.ts                                   | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\payment\payment.component.ts                                        | TypeScript         |        114 |         19 |         10 |        143 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\tabs-routing.module.ts                                              | TypeScript         |         39 |          0 |          4 |         43 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\tabs.module.ts                                                      | TypeScript         |         33 |          0 |          5 |         38 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\tabs.page.html                                                      | HTML               |         84 |          0 |          4 |         88 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\tabs.page.scss                                                      | SCSS               |         93 |          4 |          2 |         99 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\tabs.page.ts                                                        | TypeScript         |         86 |         22 |         17 |        125 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\terms-conditions\terms-conditions.component.html                    | HTML               |         49 |          0 |          2 |         51 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\terms-conditions\terms-conditions.component.scss                    | SCSS               |         32 |          2 |          1 |         35 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\terms-conditions\terms-conditions.component.spec.ts                 | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\tabs\terms-conditions\terms-conditions.component.ts                      | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\athlete-waitlist\athlete-waitlist.page.html                     | HTML               |        135 |         36 |          4 |        175 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\athlete-waitlist\athlete-waitlist.page.scss                     | SCSS               |        313 |          6 |          5 |        324 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\athlete-waitlist\athlete-waitlist.page.spec.ts                  | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\athlete-waitlist\athlete-waitlist.page.ts                       | TypeScript         |        105 |         10 |         11 |        126 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\call\call.component.html                                        | HTML               |         49 |          6 |          6 |         61 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\call\call.component.scss                                        | SCSS               |        120 |          5 |          6 |        131 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\call\call.component.spec.ts                                     | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\call\call.component.ts                                          | TypeScript         |        312 |          4 |         38 |        354 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\fan-waitlist\fan-waitlist.page.html                             | HTML               |        151 |          8 |          8 |        167 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\fan-waitlist\fan-waitlist.page.scss                             | SCSS               |        322 |          1 |          4 |        327 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\fan-waitlist\fan-waitlist.page.spec.ts                          | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\fan-waitlist\fan-waitlist.page.ts                               | TypeScript         |        169 |          5 |         22 |        196 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\incoming-call\incoming-call.component.html                      | HTML               |         35 |          4 |          5 |         44 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\incoming-call\incoming-call.component.scss                      | SCSS               |        110 |          0 |          5 |        115 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\incoming-call\incoming-call.component.spec.ts                   | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\incoming-call\incoming-call.component.ts                        | TypeScript         |        177 |          0 |         13 |        190 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\waitlist-routing.module.ts                                      | TypeScript         |         24 |          0 |          5 |         29 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\waitlist.module.ts                                              | TypeScript         |         28 |          4 |          7 |         39 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\waitlist.page.html                                              | HTML               |         16 |          0 |          1 |         17 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\waitlist.page.scss                                              | SCSS               |          0 |          0 |          1 |          1 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\waitlist.page.spec.ts                                           | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\waitlist\waitlist.page.ts                                                | TypeScript         |        111 |          3 |         15 |        129 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\welcome-screen\welcome-screen-routing.module.ts                          | TypeScript         |         14 |          0 |          4 |         18 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\welcome-screen\welcome-screen.module.ts                                  | TypeScript         |         16 |          0 |          5 |         21 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\welcome-screen\welcome-screen.page.html                                  | HTML               |         63 |          0 |          5 |         68 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\welcome-screen\welcome-screen.page.scss                                  | SCSS               |         69 |          4 |          4 |         77 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\welcome-screen\welcome-screen.page.spec.ts                               | TypeScript         |         19 |          0 |          6 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pages\welcome-screen\welcome-screen.page.ts                                    | TypeScript         |         25 |          0 |          4 |         29 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pipes\humanReadable\human-readable.pipe.spec.ts                                | TypeScript         |          7 |          0 |          2 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pipes\humanReadable\human-readable.pipe.ts                                     | TypeScript         |          9 |          0 |          4 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pipes\pipes.module.ts                                                          | TypeScript         |         10 |          0 |          1 |         11 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pipes\profile\profile.pipe.spec.ts                                             | TypeScript         |          7 |          0 |          2 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\pipes\profile\profile.pipe.ts                                                  | TypeScript         |         22 |          0 |          3 |         25 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\providers\authentication.service.ts                                            | TypeScript         |         53 |          1 |          3 |         57 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\providers\common.service.ts                                                    | TypeScript         |        134 |          1 |         18 |        153 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\providers\constant.service.ts                                                  | TypeScript         |         35 |          5 |          8 |         48 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\providers\core.service.ts                                                      | TypeScript         |        280 |         42 |         35 |        357 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\providers\data.service.ts                                                      | TypeScript         |        243 |         52 |         17 |        312 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\providers\network.service.ts                                                   | TypeScript         |         34 |          0 |          8 |         42 |
| d:\bubbleApp\BubbleApp-Mobile\src\app\utility\passwordValidator.ts                                                   | TypeScript         |         49 |          0 |         12 |         61 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\approve-icon.svg                                                       | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\arrow-back.svg                                                         | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\arrow-down-black.svg                                                   | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\arrow-down.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\arrow-left.svg                                                         | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\arrow-right.svg                                                        | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\bid-dollar.svg                                                         | XML                |          8 |          0 |          0 |          8 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\blue-notch.svg                                                         | XML                |         36 |          0 |          0 |         36 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\bubble-icon.svg                                                        | XML                |         29 |          0 |          0 |         29 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\calendar-card.svg                                                      | XML                |         12 |          0 |          1 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\calendar-new-1.svg                                                     | XML                |         12 |          0 |          1 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\calendar-new.svg                                                       | XML                |         12 |          0 |          1 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\calendar-white-small.svg                                               | XML                |         14 |          0 |          0 |         14 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\calendar-white.svg                                                     | XML                |         12 |          0 |          1 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\calendar.svg                                                           | XML                |         12 |          0 |          1 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\calender-blue.svg                                                      | XML                |         14 |          0 |          0 |         14 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\camera-white.svg                                                       | XML                |          5 |          0 |          1 |          6 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\camera.svg                                                             | XML                |          5 |          0 |          1 |          6 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\cancel-cross.svg                                                       | XML                |          9 |          0 |          0 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\card-new.svg                                                           | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\card-number.svg                                                        | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\chat-black.svg                                                         | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\chat.svg                                                               | XML                |          8 |          0 |          0 |          8 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\check-green.svg                                                        | XML                |          4 |          0 |          0 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\checkmark-white-old.svg                                                | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\checkmark-white.svg                                                    | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\clock.svg                                                              | XML                |          7 |          0 |          0 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\close-btn.svg                                                          | XML                |         12 |          0 |          1 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\cvv-new.svg                                                            | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\cvv.svg                                                                | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\delete-acc.svg                                                         | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\delete.svg                                                             | XML                |          7 |          0 |          1 |          8 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\document.svg                                                           | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\dolor.svg                                                              | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\duration-small.svg                                                     | XML                |         10 |          0 |          0 |         10 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\duration.svg                                                           | XML                |          5 |          0 |          1 |          6 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\email.svg                                                              | XML                |          8 |          0 |          1 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\end-call.svg                                                           | XML                |          5 |          0 |          0 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\event-name.svg                                                         | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\filter-icon.svg                                                        | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\flip-camara.svg                                                        | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\hide.svg                                                               | XML                |         11 |          0 |          1 |         12 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\highest-bid.svg                                                        | XML                |          8 |          0 |          1 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\in-person.svg                                                          | XML                |         20 |          0 |          0 |         20 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\info-red.svg                                                           | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\info-white.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\join-video.svg                                                         | XML                |         23 |          0 |          0 |         23 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\list-icon.svg                                                          | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\location.svg                                                           | XML                |          8 |          0 |          0 |          8 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\lock-black.svg                                                         | XML                |          9 |          0 |          1 |         10 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\lock.svg                                                               | XML                |          5 |          0 |          1 |          6 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\login-red.svg                                                          | XML                |          5 |          0 |          1 |          6 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\meet-up.svg                                                            | XML                |         14 |          0 |          0 |         14 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\mobile.svg                                                             | XML                |          7 |          0 |          1 |          8 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\notification.svg                                                       | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\phone.svg                                                              | XML                |          7 |          0 |          1 |          8 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\profile.svg                                                            | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\reject-icon.svg                                                        | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\right-green-.svg                                                       | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\right-green.svg                                                        | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\share-icon.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\share.svg                                                              | XML                |          5 |          0 |          0 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\show.svg                                                               | XML                |          8 |          0 |          1 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\tabs-main.svg                                                          | XML                |         27 |          0 |          1 |         28 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\team.svg                                                               | XML                |         12 |          0 |          1 |         13 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\time-circle.svg                                                        | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\user-icon.svg                                                          | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\user.svg                                                               | XML                |          8 |          0 |          1 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\video-call-off.svg                                                     | XML                |          5 |          0 |          1 |          6 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\video-call.svg                                                         | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\video.svg                                                              | XML                |          8 |          0 |          0 |          8 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\voice-off.svg                                                          | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\icon\voice.svg                                                              | XML                |          5 |          0 |          1 |          6 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\apple-pay-gray.svg                                                   | XML                |          8 |          0 |          1 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\apple-pay.svg                                                        | XML                |          8 |          0 |          1 |          9 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\auth-img.svg                                                         | XML                |         76 |          0 |          1 |         77 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\call-green.svg                                                       | XML                |         15 |          0 |          1 |         16 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\call-red.svg                                                         | XML                |         15 |          0 |          1 |         16 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\card-icn-white.svg                                                   | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\card-icn.svg                                                         | XML                |          4 |          0 |          1 |          5 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\facebook.svg                                                         | XML                |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\google.svg                                                           | XML                |          6 |          0 |          1 |          7 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\logo-auth.svg                                                        | XML                |         19 |          0 |          1 |         20 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\logo-text.svg                                                        | XML                |         27 |          0 |          1 |         28 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\logo.svg                                                             | XML                |         27 |          0 |          1 |         28 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\profile-bg.svg                                                       | XML                |        166 |          0 |          0 |        166 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\images\single-logo.svg                                                      | XML                |         26 |          0 |          1 |         27 |
| d:\bubbleApp\BubbleApp-Mobile\src\assets\shapes.svg                                                                  | XML                |          1 |          0 |          1 |          2 |
| d:\bubbleApp\BubbleApp-Mobile\src\environments\environment.prod.ts                                                   | TypeScript         |          3 |          0 |          1 |          4 |
| d:\bubbleApp\BubbleApp-Mobile\src\environments\environment.ts                                                        | TypeScript         |          3 |         11 |          3 |         17 |
| d:\bubbleApp\BubbleApp-Mobile\src\global.scss                                                                        | SCSS               |        598 |         25 |         39 |        662 |
| d:\bubbleApp\BubbleApp-Mobile\src\index.html                                                                         | HTML               |         60 |          9 |         11 |         80 |
| d:\bubbleApp\BubbleApp-Mobile\src\main.ts                                                                            | TypeScript         |          9 |          0 |          4 |         13 |
